,ts,price,volume,vwap,ma1,cross1,cross2,lower,upper,profit,profit_max,drawdown,dd_ratio,n_minus,warmup
2026-02-25 09:04:07,1771977847.5908117,370.4,2210000.0,369.2482386448808,369.9733333333333,0.0,0.0,369.0999999999999,370.70000000000005,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:04:09,1771977849.591989,370.3,2220200.0,369.2562183873847,370.0033333333333,0.0,0.0,369.0999999999999,370.70000000000005,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:04:11,1771977851.581526,370.2,2224900.0,369.2595063375584,370.02666666666664,0.0,0.0,369.20000000000005,370.79999999999995,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:04:13,1771977853.5980918,370.2,2226000.0,369.2602725522145,370.05,0.0,0.0,369.20000000000005,370.79999999999995,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:04:15,1771977855.608179,370.3,2226200.0,369.26042654028436,370.0733333333333,0.0,0.0,369.20000000000005,370.79999999999995,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:04:17,1771977857.596316,369.9,2256600.0,369.2745075318656,370.0799999999999,0.0,0.0,369.44999999999993,370.65,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:04:19,1771977859.604832,369.9,2257200.0,369.27477920949764,370.08666666666653,0.0,0.0,369.44999999999993,370.65,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:04:21,1771977861.5969613,370.0,2260900.0,369.27671648256444,370.0966666666665,0.0,0.0,369.44999999999993,370.65,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:04:23,1771977863.602106,370.4,2283000.0,369.2943575895395,370.11999999999983,0.0,0.0,369.29999999999995,370.9000000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:04:25,1771977865.623333,370.5,2289100.0,369.29956131040825,370.1466666666665,0.0,0.0,369.54999999999995,370.75,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:04:27,1771977867.6278212,370.6,2292600.0,369.3027738565782,370.1733333333332,0.0,0.0,369.40000000000003,370.99999999999994,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:04:29,1771977869.6322248,370.6,2293300.0,369.30341446208115,370.1899999999998,0.0,0.0,369.40000000000003,370.99999999999994,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:04:31,1771977871.6304116,370.5,2297000.0,369.306529693217,370.1999999999998,0.0,0.0,369.25,371.25,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:04:33,1771977873.6270685,370.4,2300500.0,369.30921597529306,370.2099999999998,0.0,0.0,369.25,371.25,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:04:35,1771977875.6329544,370.4,2300500.0,369.30921597529306,370.21999999999974,0.0,0.0,369.25,371.25,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:04:37,1771977877.6336277,370.4,2300700.0,369.3093690785318,370.23333333333306,0.0,0.0,369.25,371.25,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:04:39,1771977879.636357,370.5,2302400.0,369.31078788728445,370.2533333333331,0.0,0.0,369.25,371.25,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:04:41,1771977881.6369545,370.5,2302400.0,369.31078788728445,370.2766666666665,0.0,0.0,369.25,371.25,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:04:43,1771977883.6383076,370.5,2310700.0,369.3176667363579,370.29999999999984,0.0,0.0,369.25,371.25,0.0,0.0,0.0,0.0,0.0,1.0
